2025-05-25 11:23:54.741  7240-5664  .face_detect_mk         com.example.face_detect_mk           I  This is sticky GC, maxfree is 33554432 minfree is 8388608
2025-05-25 11:23:54.755  7240-5896  SkJpegCodec             com.example.face_detect_mk           I  [mId: 106] skia-debug SkJpegCodec::+SkJpegCodec
2025-05-25 11:23:54.755  7240-5896  SkJpegCodec             com.example.face_detect_mk           I  [mId: 106] skia-debug SkJpegCodec::ReadHeader: width = 1728, height = 1728, color = 10
2025-05-25 11:23:54.755  7240-5896  SkJpegCodec             com.example.face_detect_mk           I  [mId: 106] skia-debug SkJpegCodec::ReadHeader: progressive_mode = 0, streamType: SkMemoryStream
2025-05-25 11:23:54.755  7240-5896  SkJpegCodec             com.example.face_detect_mk           I  [mId: 106] skia-debug SkJpegCodec::onGetPixels: dstRowBytes = 6912, 
                                                                                                    dstInfo: SkImageInfo: {IsRGB = 1, ColorType = 4, AlphaType = 1, Dimensions.width = 1728, Dimensions.height = 1728};
2025-05-25 11:23:54.786  7240-5896  SkJpegCodec             com.example.face_detect_mk           I  [mId: 106] skia-debug SkJpegCodec::onGetPixels ends with rowsDecodec = 1728
2025-05-25 11:23:54.786  7240-5896  SkJpegCodec             com.example.face_detect_mk           I  [mId: 106] skia-debug onGetGainmapInfo returns false
2025-05-25 11:23:54.787  7240-5896  OnnxFaceDetector        com.example.face_detect_mk           D  Starting face detection on bitmap 1728x1728
2025-05-25 11:23:54.807  7240-5896  OnnxFaceDetector        com.example.face_detect_mk           D  Model outputs - Scores: 8840, Boxes: 17680
2025-05-25 11:23:54.807  7240-5896  OnnxFaceDetectionUtils  com.example.face_detect_mk           D  Detection 3864: confidence=0.7944534, normalized=(0.5406287, 0.37604415, 0.711244, 0.51682305), pixel=(934, 649, 1229, 893)
2025-05-25 11:23:54.807  7240-5896  OnnxFaceDetectionUtils  com.example.face_detect_mk           D  Detection 3865: confidence=0.9417496, normalized=(0.53902876, 0.37644058, 0.71599555, 0.52032906), pixel=(931, 650, 1237, 899)
2025-05-25 11:23:54.808  7240-5896  OnnxFaceDetectionUtils  com.example.face_detect_mk           D  Detection 3905: confidence=0.7867569, normalized=(0.54007983, 0.37693986, 0.7105186, 0.52493155), pixel=(933, 651, 1227, 907)
2025-05-25 11:23:54.808  7240-5896  OnnxFaceDetectionUtils  com.example.face_detect_mk           D  Found 3 faces before NMS
2025-05-25 11:23:54.808  7240-5896  OnnxFaceDetectionUtils  com.example.face_detect_mk           D  Kept 1 faces after NMS
2025-05-25 11:23:54.808  7240-5896  OnnxFaceDetector        com.example.face_detect_mk           D  Face detection completed, found 1 faces
2025-05-25 11:23:54.808  7240-5896  RealTimeBackDetection   com.example.face_detect_mk           D  检测到 1 张人脸
2025-05-25 11:23:54.836  7240-5902  HWUI                    com.example.face_detect_mk           D  onFlyCompress
